name,software,wall_time,basis,level_of_theory,energy,nbasis,termination
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/hf/def2tzvpp/ala0.xyz.a494b05e-dd7a-11ef-9693-d85ed34e2189.out,orca,912.451,def2tzvpp,hf,-25332.41424334646,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/hf/def2tzvpp/ala0.xyz.a494d82c-dd7a-11ef-9693-d85ed34e2189.out,gaussian,989.6,def2tzvpp,hf,-25332.41333726909,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/r2scan-3c/def2tzvpp/ala0.xyz.a4953006-dd7a-11ef-9693-d85ed34e2189.out,orca,23.325,def2tzvpp,r2scan-3c,-25472.581016391992,511,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/b973c/def2tzvpp/ala0.xyz.a4956832-dd7a-11ef-9693-d85ed34e2189.out,orca,26.561,def2tzvpp,b973c,-25466.43332485817,450,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/rimp2/def2tzvpp/ala0.xyz.a495d5b0-dd7a-11ef-9693-d85ed34e2189.out,orca,970.764,def2tzvpp,rimp2,-25430.448510151324,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/pbe0/def2tzvpp/ala0.xyz.a4960bc0-dd7a-11ef-9693-d85ed34e2189.out,orca,139.534,def2tzvpp,pbe0,-25458.746684330144,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/pbe0/def2tzvpp/ala0.xyz.a49629ac-dd7a-11ef-9693-d85ed34e2189.out,gaussian,1229.7,def2tzvpp,pbe0,-25458.7129315532,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/PBEh-3c/def2tzvpp/ala0.xyz.a49641c6-dd7a-11ef-9693-d85ed34e2189.out,orca,49.1,def2tzvpp,PBEh-3c,-25422.92948390111,331,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xv/def2tzvpp/ala0.xyz.a4967862-dd7a-11ef-9693-d85ed34e2189.out,orca,227.571,def2tzvpp,wb97xv,-25480.572925342905,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xd3/def2tzvpp/ala0.xyz.a496adbe-dd7a-11ef-9693-d85ed34e2189.out,orca,230.712,def2tzvpp,wb97xd3,-25481.277244816607,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xd3bj/def2tzvpp/ala0.xyz.a496e270-dd7a-11ef-9693-d85ed34e2189.out,orca,225.494,def2tzvpp,wb97xd3bj,-25497.762305702,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/m062x/def2tzvpp/ala0.xyz.a4971ac4-dd7a-11ef-9693-d85ed34e2189.out,orca,159.636,def2tzvpp,m062x,-25476.97356778659,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/m062x/def2tzvpp/ala0.xyz.a49735fe-dd7a-11ef-9693-d85ed34e2189.out,gaussian,1213.8,def2tzvpp,m062x,-25476.92521085415,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/camb3lyp/def2tzvpp/ala0.xyz.a4974e04-dd7a-11ef-9693-d85ed34e2189.out,orca,206.851,def2tzvpp,camb3lyp,-25476.113281822636,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/camb3lyp/def2tzvpp/ala0.xyz.a49768b2-dd7a-11ef-9693-d85ed34e2189.out,gaussian,1488.3,def2tzvpp,camb3lyp,-25476.0870604932,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/b2plyp/def2tzvpp/ala0.xyz.a4979dbe-dd7a-11ef-9693-d85ed34e2189.out,gaussian,13237.0,def2tzvpp,b2plyp,-25435.141603413125,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/dlpnoccsdt/def2tzvpp/ala0.xyz.a497ef62-dd7a-11ef-9693-d85ed34e2189.out,orca,31361.485,def2tzvpp,dlpnoccsdt,-25437.03095426273,911,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/hf/def2svp/ala0.xyz.a49823ce-dd7a-11ef-9693-d85ed34e2189.out,orca,52.104,def2svp,hf,-25303.492759539517,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/hf/def2svp/ala0.xyz.a4983f76-dd7a-11ef-9693-d85ed34e2189.out,gaussian,57.6,def2svp,hf,-25303.491854984168,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/r2scan-3c/def2svp/ala0.xyz.a4988a76-dd7a-11ef-9693-d85ed34e2189.out,orca,24.915,def2svp,r2scan-3c,-25472.58101639225,511,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/b973c/def2svp/ala0.xyz.a498bcee-dd7a-11ef-9693-d85ed34e2189.out,orca,26.559,def2svp,b973c,-25466.43332485817,450,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/mp2/def2svp/ala0.xyz.a498f240-dd7a-11ef-9693-d85ed34e2189.out,orca,127.482,def2svp,mp2,-25382.87466262756,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/mp2/def2svp/ala0.xyz.a4990d5c-dd7a-11ef-9693-d85ed34e2189.out,gaussian,412.6,def2svp,mp2,-25382.873759321308,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/rimp2/def2svp/ala0.xyz.a499254e-dd7a-11ef-9693-d85ed34e2189.out,orca,58.747,def2svp,rimp2,-25382.848303219147,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/pbe0/def2svp/ala0.xyz.a49957d0-dd7a-11ef-9693-d85ed34e2189.out,orca,36.715,def2svp,pbe0,-25430.43862844944,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/gaussian/ala0.xyz/pbe0/def2svp/ala0.xyz.a4997206-dd7a-11ef-9693-d85ed34e2189.out,gaussian,111.7,def2svp,pbe0,-25430.3982669917,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/PBEh-3c/def2svp/ala0.xyz.a49988cc-dd7a-11ef-9693-d85ed34e2189.out,orca,49.151,def2svp,PBEh-3c,-25422.92948390111,331,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xv/def2svp/ala0.xyz.a499bd10-dd7a-11ef-9693-d85ed34e2189.out,orca,65.532,def2svp,wb97xv,-25451.989640000626,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xd3/def2svp/ala0.xyz.a499ef60-dd7a-11ef-9693-d85ed34e2189.out,orca,65.316,def2svp,wb97xd3,-25452.768417575917,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/wb97xd3bj/def2svp/ala0.xyz.a49a2372-dd7a-11ef-9693-d85ed34e2189.out,orca,62.544,def2svp,wb97xd3bj,-25469.22182443252,381,NORMAL TERMINATION
/cluster/home/schmidtn/master/wahlprak/dft-mp2-data/rerun/orca/ala0.xyz/m062x/def2svp/ala0.xyz.a49a5590-dd7a-11ef-9693-d85ed34e2189.out,orca,41.949,def2svp,m062x,-25447.3398106186,381,NORMAL TERMINATION
